Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BZ1","Buzzer","BUZ-SMD_4P-L8.5-W8.5-P8.50-TL",150.550000,-85.930000,-135.000000,bottom
"C35","100nF","C_0402_1005Metric",127.380000,-67.000000,180.000000,bottom
"C68","10uF","C_0603_1608Metric",128.570000,-76.695000,90.000000,bottom
"C69","100nF","C_0402_1005Metric",126.500000,-76.990000,90.000000,bottom
"D4","1N4148W","D_SOD-123",155.020000,-81.490000,-45.000000,bottom
"Flash1","Flash","SW_Push_1P1T_XKB_TS-1187A",143.700000,-61.900000,0.000000,bottom
"J1","Conn_01x04_MountingPin","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",162.095000,-72.010000,90.000000,bottom
"J4","DM3AT-SF-PEJM5","HRS_DM3AT-SF-PEJM5_card",116.997500,-76.952500,90.000000,bottom
"J5","Conn_01x08_MountingPin","JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal",169.940000,-77.240000,-90.000000,bottom
"Q1","MMBT2222A","SOT-23",161.061161,-87.685336,45.000000,bottom
"R2","10K","R_0402_1005Metric",131.280000,-78.530000,-90.000000,bottom
"R6","1K","R_0402_1005Metric",156.810000,-88.430000,0.000000,bottom
"R53","10K","R_0402_1005Metric",120.790000,-68.320000,90.000000,bottom
"R68","10K","R_0402_1005Metric",114.630000,-85.280000,0.000000,bottom
"R69","10K","R_0402_1005Metric",121.849480,-68.320000,90.000000,bottom
"R70","10K","R_0402_1005Metric",119.729480,-68.320000,90.000000,bottom
"R71","10K","R_0402_1005Metric",118.670000,-68.320000,90.000000,bottom
"R72","10K","R_0402_1005Metric",122.909480,-68.320000,90.000000,bottom
"Reset2","Reset","SW_Push_1P1T_XKB_TS-1187A",135.460000,-61.910000,180.000000,bottom
"TP3","TestPoint","TestPoint_Pad_1.0x1.0mm",133.330000,-70.170000,180.000000,bottom
"TP4","TestPoint","TestPoint_Pad_1.0x1.0mm",131.280000,-70.170000,180.000000,bottom
"C3","2.2uF","C_0603_1608Metric",134.000000,-89.370000,180.000000,top
"C4","2.2uF","C_0603_1608Metric",137.660000,-75.640000,90.000000,top
"C5","33pF","C_0402_1005Metric",119.425000,-83.362500,180.000000,top
"C6","33pF","C_0402_1005Metric",119.425000,-76.212500,180.000000,top
"C7","10uF","C_0402_1005Metric",146.850000,-71.220000,-90.000000,top
"C8","10uF","C_0402_1005Metric",148.010000,-80.440000,-45.000000,top
"C9","10uF","C_0402_1005Metric",147.580000,-73.440000,-90.000000,top
"C14","100nF","C_0402_1005Metric",160.280000,-73.130000,-90.000000,top
"C15","100nF","C_0402_1005Metric",165.560000,-76.140000,-90.000000,top
"C16","100nF","C_0402_1005Metric",161.090000,-67.640000,-45.000000,top
"C21","10uF","C_0402_1005Metric",141.790000,-73.440000,-90.000000,top
