Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,BUZ-SMD_4P-L8.5-W8.5-P8.50-TL,1,Buzzer,C95298
"C14, C15, C16, C38, C41, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C60, C62, C63, C64, C65, C69",0402,24,100nF,C307331
"C21, C24, C7",0402,3,10uF,C15850
"C22, C23",0805,2,10uF,C15850
"C3, C4",0603,2,2.2uF,C23630
"C33, C68",0603,2,10uF,C19702
"C34, C36",0805,2,22uF,C45783
C35,0402,1,100nF,C1525
"C5, C6",0402,2,33pF,C1562
"C8, C9",0402,2,10uF,C15525
D1,D_SMA,1,SMAJ33A,C113966
"D2, D3",D_SMA,2,SS14,C2480
D4,D_SOD-123,1,1N4148W,C81598
FLASH1,SW_Push_1P1T_XKB_TS-1187A,1,Flash,C318884
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04_MountingPin,
J11,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,Conn_01x06_MountingPin,
J13,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,Conn_01x04_MountingPin,
J4,HRS_DM3AT-SF-PEJM5_card,1,DM3AT-SF-PEJM5,C114218
J5,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,1,Conn_01x08_MountingPin,
J7,PinSocket_1x04_P2.54mm_Vertical,1,ELRS,
J8,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Conn_01x03_MountingPin,
J9,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_14P,C19274016
L1,IND-SMD_L6.0-W6.0_SWPA6045S,1,6.8uH,C57254
"LED1, LED2, LED3, LED4",LED-SMD_4P-L3.5-W3.5-TL_WS2812B,4,~,C527089
Q1,SOT-23,1,MMBT2222A,C8512
"R1, R2, R5, R53, R61, R68, R69, R70, R71, R72",0402,10,10K,C25804
"R14, R17",0402,2,5.1K,C25905
R29,0402,1,330R,C25104
"R3, R7",0402,2,2.2K,C25879
R4,0603,1,75K,C23242
"R54, R55",0402,2,"2,2K",C25879
"R6, R62",0402,2,1K,C11702
RESET2,SW_Push_1P1T_XKB_TS-1187A,1,Reset,C318884
"TP1, TP2",TestPoint_THTPad_D3.0mm_Drill1.5mm,2,TestPoint,
"TP3, TP4, TP5, TP6",TestPoint_Pad_1.0x1.0mm,4,TestPoint,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F407RGTx,C15742
U10,SOT-23-5,1,XC6220B331MR,C86534
U3,RpiZero2W_Redukce_Final,1,RASPBERRY_PI_ZERO_2_W,
U4,SOT-23-6,1,TPS54302,C311983
U5,SOT-23-6,1,USBLC6-2SC6,C7519
U6,LGA-14_L3.0-W2.5-P0.50-TL,1,ICM-42688-P,C1850418
U7,SENSOR-SMD_SPL06-007,1,SPL06-007,C233787
U9,MLF-6-1EP_1.6x1.6mm_P0.5mm_EP0.5x1.26mm,1,MIC5353-3.3YMT,C511311
Y2,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,C115962
