Designator,Mid X,Mid Y,Rotation,Layer
BZ1,150.55,-85.93,315.0,bottom
C14,160.28,-73.13,270.0,top
C15,165.56,-76.14,270.0,top
C16,161.370589,-67.360589,315.0,top
C21,141.79,-73.44,270.0,top
C22,160.008249,-68.038249,315.0,top
C23,137.81,-70.71,270.0,top
C24,139.6425,-71.18,90.0,top
C3,134.0,-89.37,180.0,top
C33,165.96,-71.62,270.0,top
C34,156.31,-74.62,180.0,top
C35,127.38,-67.0,0.0,bottom
C36,156.31,-72.58,180.0,top
C38,144.46,-75.0,0.0,top
C4,137.56,-75.64,90.0,top
C41,123.395,-84.06,270.0,top
C46,123.38,-77.1,90.0,top
C47,135.79,-87.57,270.0,top
C48,125.99,-75.15,90.0,top
C49,135.83,-75.57,180.0,top
C5,119.425,-83.3625,180.0,top
C50,128.32,-88.55,0.0,top
C51,142.83,-73.44,270.0,top
C52,140.6625,-71.18,90.0,top
C53,147.279411,-81.179411,315.0,top
C54,122.96,-80.96,180.0,top
C55,124.545,-73.775,270.0,top
C56,124.555,-71.525,90.0,top
C57,166.785,-80.42,180.0,top
C58,143.32,-77.73,180.0,top
C6,119.425,-76.2125,180.0,top
C60,140.42,-74.91,180.0,top
C62,130.244758,-92.66317,270.0,top
C63,153.99,-88.51,0.0,top
C64,130.81,-61.0,90.0,top
C65,149.419411,-66.550589,45.0,top
C68,128.57,-76.695,90.0,bottom
C69,126.5,-76.99,90.0,bottom
C7,146.85,-71.22,270.0,top
C8,148.01,-80.44,315.0,top
C9,147.58,-73.44,270.0,top
D1,169.82,-77.9325,270.0,top
D2,150.9225,-70.74,0.0,top
D3,150.32,-76.120001,270.0,top
D4,155.02,-81.49,225.0,bottom
FLASH1,143.7,-61.9,180.0,bottom
J1,162.095,-72.01,90.0,bottom
J11,111.87,-72.31,270.0,top
J13,111.82,-82.095,90.0,top
J4,116.9975,-76.9525,90.0,bottom
J5,169.94,-77.24,270.0,bottom
J7,119.75,-87.26,270.0,top
J8,140.24,-62.83,180.0,top
J9,141.71,-92.695,0.0,top
L1,159.85,-79.28,180.0,top
LED1,133.49,-93.07,0.0,top
LED2,149.6875,-92.98,180.0,top
LED3,146.31,-62.413817,180.0,top
LED4,134.124592,-62.363,0.0,top
Q1,161.061161,-87.685336,315.0,bottom
R1,128.24,-73.28,0.0,top
R14,138.99,-86.13,0.0,top
R17,143.96,-86.305,270.0,top
R2,131.28,-78.53,270.0,bottom
R29,138.27,-81.54,180.0,top
R3,125.38,-69.01,0.0,top
R4,161.61,-70.72,180.0,top
R5,164.21,-70.85,0.0,top
R53,120.79,-68.32,90.0,bottom
R54,121.56,-69.98,180.0,top
R55,121.05,-71.49,90.0,top
R6,156.81,-88.43,180.0,bottom
R61,165.39,-79.18,90.0,top
R62,165.39,-81.57,90.0,top
R68,114.63,-85.28,180.0,bottom
R69,121.84948,-68.32,90.0,bottom
R7,126.61,-71.47,135.0,top
R70,119.72948,-68.32,90.0,bottom
R71,118.67,-68.32,90.0,bottom
R72,122.90948,-68.32,90.0,bottom
RESET2,135.46,-61.91,0.0,bottom
TP3,133.33,-70.17,0.0,bottom
TP4,131.28,-70.17,0.0,bottom
TP5,129.33,-70.17,270.0,top
TP6,135.33,-70.17,270.0,top
U1,130.595,-81.33,270.0,top
U10,143.2125,-70.71,0.0,top
U3,138.82,-73.23,0.0,top
U4,162.4575,-73.6,270.0,top
U5,141.71,-85.515,90.0,top
U6,140.82,-77.23,90.0,top
U7,122.795,-72.325,0.0,top
U9,144.78,-73.46,180.0,top
Y2,119.91,-79.78,90.0,top
